"Reference","Value","Qty","DNP","MPN","Description"
"C1,C2","100n","2","","885012207045","CAP CER 0.1UF 16V X7R 0805"
"C3","4.7u","1","","GRM21BR71C475KE51L","CAP CER 4.7UF 16V X7R 0805"
"C4","10n","1","","885012207039","CAP CER 10000PF 16V X7R 0805"
"FB1","40-1.5A","1","","MH2029-400Y","FERRITE BEAD 40 OHM 0805 1LN"
"J1","GSB1C4621DS2HR","1","","GSB1C4621DS2HR","USB 2.0-only 16P Type-C Receptacle connector"
"J2","DB25P064TXLF","1","","DB25P064TXLF","CONN D-SUB PLUG 25POS SLDR CUP"
"N1","956-025-010R031","1","","956-025-010R031","25 WAY D-SUB HOOD PLASTIC TOP EN"
"R1","47k","1","","RC0805JR-0747KL","RES 47K OHM 5% 1/8W 0805"
"R2,R3","5k1","2","","RC0805FR-075K1L","RES 5K1 OHM 1% 1/8W 0805"
"RA1,RA2,RA3","100r","3","","CAY16-101J4LF","RES ARRAY 4 RES 100 OHM 1206 convex"
"U1","FT245RL","1","","FT245RNL","IC USB TO PARALLEL FIFO 28-SSOP"
